manual_geocode_id,CONTROL,TESTERID,HSITEAD,HSITETYP,HUNITNO,HCITY,HSTATE,HZIP,lat,long,blockgroup_geoid,block_geoid,distance_km,flag_class,manual_lat,manual_long,manual_source,manual_notes,review_complete,drop_row
SA-SH-3815-1 | SA136 | Trinity Glade | San Antonio | TX | 78261,SA-SH-3815-1,SA136,Trinity Glade,,,San Antonio,TX,78261,29.6951707,-98.44370221,4.80291E+11,4.80291E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
SA-SH-4137-1 | SA136 | Meadowood Oak | San Antonio | TX | 78254,SA-SH-4137-1,SA136,Meadowood Oak,,,San Antonio,TX,78254,29.51388351,-98.72342504,4.80292E+11,4.80292E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
SA-SH-4137-1 | SA136 | Tahoka Daisy | San Antonio | TX | 78245,SA-SH-4137-1,SA136,Tahoka Daisy,,,San Antonio,TX,78245,29.4303955,-98.7262518,4.80292E+11,4.80292E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
SD-SA-5003-1 | SD054 | 4520 | san diego | CA | 92107,SD-SA-5003-1,SD054,4520,,,san diego,CA,92107,32.98506,-117.2362917,60730173062,6.07302E+13,,Broad bad-address review candidate,,,,broad_bad_address_rule: numeric-only street address,,
SJ-SA-1409-1 | SJ024 | Creekside Village Drive | los altos | CA | 95032,SJ-SA-1409-1,SJ024,Creekside Village Drive,,300,los altos,CA,95032,37.22840757,-121.9769098,60855071002,6.08551E+13,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
SJ-SA-2309-1 | SJ024 | Cladwell Avenue | Los Altos | CA | 95032,SJ-SA-2309-1,SJ024,Cladwell Avenue,,210,Los Altos,CA,95032,37.22798821,-121.9690877,60855070013,6.08551E+13,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
SJ-SH-3401-1 | SJ041 | Unknown | Milpitas | CA | ,SJ-SH-3401-1,SJ041,Unknown,,,Milpitas,CA,,37.4307627,-121.8975112,60855045044,6.0855E+13,,Broad bad-address review candidate,,,,broad_bad_address_rule: placeholder street address,,
ST-SA-3004-1 | ST009 | 10776 | Redmond | WA | 98052,ST-SA-3004-1,ST009,10776,,LOT 6,Redmond,WA,98052,47.694404,-122.0435996,5.3033E+11,5.3033E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: numeric-only street address,,
ST-SB-2602-1 | ST104 |  | Renton | WA | 98059,ST-SB-2602-1,ST104,,,,Renton,WA,98059,47.5016084,-122.095934,5.3033E+11,5.3033E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: empty street address,,
TP-SA-0304-1 | TP009 | Seminole Sky Dr. | Ruskin | FL | 33570,TP-SA-0304-1,TP009,Seminole Sky Dr.,,Lot32,Ruskin,FL,33570,27.7305938,-82.4480844,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SA-0304-1 | TP009 | Seminole Sky Drive | Ruskin | FL | 33570,TP-SA-0304-1,TP009,Seminole Sky Drive,,Lot37,Ruskin,FL,33570,27.7305938,-82.4480844,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SA-0304-1 | TP009 | Seminole Sky Drive | Ruskin | FL | 33570,TP-SA-0304-1,TP009,Seminole Sky Drive,,Lot45,Ruskin,FL,33570,27.7305938,-82.4480844,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
"TP-SA-2709-1 | TP048 | Interbay Boulevard, | Tampa | FL | 33616",TP-SA-2709-1,TP048,"Interbay Boulevard,",,,Tampa,FL,33616,27.8659264,-82.5223989,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
