Table,,Mothers,Column,Original,Updated,Outside Range,update more discrim,Variance Original,Variance updated,Variance decrease,Original Significance,Updated Significance,Maintain or Improve Significance,,
10A,African,1,1,-0.2231,-0.1796,0,0,0.0954,0.0594,1,2,3,1,1,0
10A,Hispanic,1,1,-0.2374,-0.2768,0,1,0.0729,0.1031,0,3,3,1,1,0
10A,Asian,1,1,-0.0543,-0.0072,0,0,0.1265,0.0883,1,0,0,0,0,0
10A,Overall,1,2,-0.0979,-0.1233,0,1,0.0278,0.0292,0,3,3,1,1,0
10A,African,1,2,-0.2289,-0.1919,0,0,0.0564,0.0451,1,3,3,1,1,0
10A,Hispanic,1,2,-0.1214,-0.1329,0,1,0.0364,0.0474,0,3,3,1,1,0
10A,Asian,1,2,-0.1027,-0.0794,0,0,0.0452,0.0394,1,2,2,1,1,0
10A,Overall,1,3,39.4893,41.751,0,1,14.0657,12.2487,1,3,3,1,1,0
10A,African,1,3,79.7645,75.6945,0,0,12.728,14.6905,0,3,3,1,1,0
10A,Hispanic,1,3,29.3393,30.8771,0,1,18.4929,13.5451,1,0,2,1,1,0
10A,Asian,1,3,22.202,21.2179,0,0,25.4432,18.0506,1,0,0,0,0,0
10A,Overall,1,4,-3.0893,-1.3552,1,0,0.9501,0.5216,1,3,3,1,1,0
10A,African,1,4,-3.0262,-1.8995,1,0,0.78,0.5554,1,3,3,1,1,0
10A,Hispanic,1,4,-1.9212,-0.8708,0,0,0.9598,0.6879,1,2,0,0,0,1
10A,Asian,1,4,-3.8178,-1.0773,1,0,0.902,0.6098,1,3,1,0,0,1
10B,Overall,1,1,0.0453,0.0348,0,0,0.0102,0.0084,1,3,3,1,1,0
10B,African,1,1,0.051,0.0421,0,0,0.0147,0.0121,1,3,3,1,1,0
10B,Hispanic,1,1,0.0557,0.0345,1,0,0.0121,0.0088,1,3,3,1,1,0
10B,Asian,1,1,0.0356,0.0292,0,0,0.0155,0.0119,1,2,2,1,1,0
10B,Overall,1,2,-0.0347,-0.0261,0,0,0.0144,0.0157,0,2,1,0,0,1
10B,African,1,2,-0.0622,-0.0296,0,0,0.021,0.0205,1,3,0,0,0,1
10B,Hispanic,1,2,-0.053,-0.0518,0,0,0.0171,0.0182,0,3,3,1,1,0
10B,Asian,1,2,-0.0081,0.0206,0,0,0.0206,0.0191,1,0,0,0,0,0
10B,Overall,1,3,-0.0424,-0.0485,0,1,0.0163,0.02,0,3,2,0,0,1
10B,African,1,3,-0.0769,-0.0793,0,1,0.0234,0.0242,0,3,3,1,1,0
10B,Hispanic,1,3,-0.0483,-0.0569,0,1,0.0179,0.02,0,3,3,1,1,0
10B,Asian,1,3,-0.0432,-0.0089,0,0,0.0232,0.0257,0,1,0,0,0,1
10B,Overall,1,4,0.0001,0.0127,0,1,0.0125,0.0109,1,0,0,0,0,0
10B,African,1,4,0.0264,0.0316,0,1,0.0164,0.0139,1,0,2,1,1,0
10B,Hispanic,1,4,0.0197,0.0265,0,1,0.0139,0.0124,1,0,2,1,1,0
